filename, Fake, Real
000a749efc8e45f0d38bcf7a8088b843_jpg.rf.8f287350b7ca9b1c2c3f675f12ff6d0d.jpg, 1, 0
deepfake-src_16-ref_23_jpg.rf.8f6ddea4f0bd958531cf88c0abd6bab8.jpg, 0, 1
982bd0d8bfeec3492dbece06645cc3f1_jpg.rf.8fb7356be122448b39a4653b1e90ff43.jpg, 1, 0
50f42a4030fbe46b55eda21d403e0898_jpg.rf.8fbdf6a719682c35d3abf50df92cd4a2.jpg, 0, 1
9f1795c11616356ea3ea537545da6015_jpg.rf.8fd1241d88c55ac13e7b4345aa1d16fb.jpg, 1, 0
17fbb84efe44d30c3fd94b2865a70f23_jpg.rf.901b212350521ce5c0a0d376b6a3284d.jpg, 0, 1
4dfaa61344906044122b00ddc96c09ac_jpg.rf.90c4de21d6ec4d5d5ea765df86cee081.jpg, 0, 1
0cc0dc8e7ce509b58f812b6439258efa_jpg.rf.935a090536780578820986ecb3f5cc31.jpg, 1, 0
5b0f3bf7727f2d28d5198a91369a1cf8_jpg.rf.8fb07cfd68a4d2ddc2922bb33fee721d.jpg, 0, 1
0d5a351c0b5533d184c050b942ea925f_jpg.rf.9195a58a8c2a1c37cbe406b47a0387de.jpg, 1, 0
19c0eb6ff2a55272e05ae1dc4cd6b466_jpg.rf.9060a5a917786e7ba5eef504ceacfd85.jpg, 1, 0
4a161d0853e68759599fb3ce2832ef99_jpg.rf.919dc02909b9bc6cd2eab59a192a648e.jpg, 1, 0
979642c98d3db298052749004d02e116_jpg.rf.918411af3bb86b81336d4ce87308f1ae.jpg, 0, 1
deepfake-src_2-ref_97_jpg.rf.9257471b0f2862d92d27c7cf4f7fff75.jpg, 0, 1
96ad9df53cf2686f1a16d127ffb5980d_jpg.rf.925997d8deaaaa3ea8af05779372ce05.jpg, 0, 1
deepfake-src_21-ref_19_jpg.rf.91fa443dfb25a538b0b0cfc1d317d476.jpg, 0, 1
